"日付け","終値","始値","高値","安値","出来高","変化率 %"
"2022年07月03日","19,309.9","19,243.4","19,626.4","18,794.4","65.27K","0.35%"
"2022年07月02日","19,243.2","19,275.4","19,425.4","19,006.4","58.57K","-0.10%"
"2022年07月01日","19,262.9","19,926.6","20,785.6","18,980.1","150.18K","-3.33%"
"2022年06月30日","19,926.6","20,111.3","20,155.1","18,682.7","127.73K","-0.92%"
"2022年06月29日","20,111.3","20,278.0","20,415.8","19,880.7","98.97K","-0.82%"
"2022年06月28日","20,278.0","20,727.9","21,200.2","20,210.5","83.83K","-2.18%"
"2022年06月27日","20,730.2","21,037.7","21,497.5","20,568.0","84.69K","-1.49%"
"2022年06月26日","21,043.5","21,489.9","21,837.4","20,989.7","67.21K","-2.08%"
"2022年06月25日","21,489.9","21,226.9","21,553.4","20,917.5","66.63K","1.24%"
"2022年06月24日","21,226.9","21,100.9","21,488.7","20,743.9","104.56K","0.60%"
"2022年06月23日","21,100.7","19,967.3","21,189.8","19,907.5","110.70K","5.68%"
"2022年06月22日","19,965.8","20,720.2","20,864.3","19,780.2","125.94K","-3.64%"
"2022年06月21日","20,720.4","20,571.6","21,689.3","20,371.7","136.32K","0.72%"
"2022年06月20日","20,572.3","20,576.9","20,996.8","19,658.8","140.60K","-0.02%"
"2022年06月19日","20,577.2","18,983.4","20,763.5","17,983.7","169.39K","8.38%"
"2022年06月18日","18,986.5","20,446.4","20,744.7","17,630.5","267.25K","-7.13%"
"2022年06月17日","20,444.6","20,391.3","21,315.4","20,244.1","136.27K","0.28%"
"2022年06月16日","20,386.6","22,577.9","22,942.1","20,231.1","144.00K","-9.71%"
"2022年06月15日","22,577.9","22,137.5","22,754.4","20,125.8","280.41K","1.90%"
"2022年06月14日","22,157.3","22,449.1","23,200.3","20,860.9","251.01K","-1.29%"
"2022年06月13日","22,448.0","26,606.3","26,857.6","22,006.3","379.26K","-15.63%"
"2022年06月12日","26,606.3","28,404.0","28,534.8","26,606.3","120.02K","-6.33%"
"2022年06月11日","28,403.4","29,083.3","29,426.6","28,161.8","82.92K","-2.34%"
"2022年06月10日","29,083.3","30,097.4","30,325.6","28,884.9","104.26K","-3.37%"
"2022年06月09日","30,097.8","30,202.1","30,691.4","29,953.8","61.72K","-0.34%"
"2022年06月08日","30,201.6","31,127.2","31,312.1","29,874.8","87.96K","-2.98%"
"2022年06月07日","31,128.8","31,370.3","31,556.6","29,235.0","140.32K","-0.76%"
"2022年06月06日","31,367.6","29,911.2","31,753.4","29,888.6","94.01K","4.86%"
"2022年06月05日","29,913.0","29,865.1","30,166.9","29,539.0","30.33K","0.16%"
"2022年06月04日","29,864.3","29,700.9","29,963.8","29,489.5","33.51K","0.55%"
"2022年06月03日","29,700.9","30,455.7","30,674.8","29,330.8","72.13K","-2.48%"
"2022年06月02日","30,455.5","29,798.6","30,638.5","29,604.4","81.40K","2.20%"
"2022年06月01日","29,798.5","31,793.1","31,969.9","29,396.6","135.09K","-6.27%"
"2022年05月31日","31,793.4","31,730.2","32,377.5","31,221.2","86.60K","0.22%"
"2022年05月30日","31,723.3","29,465.2","32,185.6","29,307.2","129.56K","7.66%"
"2022年05月29日","29,465.2","29,027.1","29,556.5","28,838.7","36.87K","1.51%"
"2022年05月28日","29,027.1","28,620.1","29,194.4","28,537.2","43.87K","1.49%"
"2022年05月27日","28,601.2","29,194.0","29,377.1","28,282.2","116.41K","-2.06%"
"2022年05月26日","29,203.5","29,537.9","29,868.9","28,077.9","126.71K","-1.14%"
"2022年05月25日","29,540.6","29,648.7","30,202.3","29,353.5","78.85K","-0.36%"
"2022年05月24日","29,648.7","29,091.6","29,810.8","28,706.1","79.42K","1.91%"
"2022年05月23日","29,093.3","30,287.3","30,644.8","28,913.6","92.10K","-3.94%"
"2022年05月22日","30,286.6","29,433.0","30,462.0","29,260.1","50.60K","2.89%"
"2022年05月21日","29,434.6","29,188.7","29,623.2","28,953.9","32.27K","0.88%"
"2022年05月20日","29,178.6","30,305.9","30,735.1","28,738.5","98.78K","-3.72%"
"2022年05月19日","30,305.9","28,700.4","30,525.1","28,682.1","101.38K","5.66%"
"2022年05月18日","28,683.7","30,437.5","30,687.9","28,648.1","92.03K","-5.76%"
"2022年05月17日","30,437.5","29,856.7","30,720.1","29,484.5","79.63K","1.97%"
"2022年05月16日","29,849.0","31,308.3","31,312.4","29,135.8","100.25K","-4.66%"
"2022年05月15日","31,308.7","30,078.6","31,383.8","29,499.4","65.44K","4.08%"
"2022年05月14日","30,080.4","29,285.2","30,277.4","28,666.7","70.46K","2.72%"
"2022年05月13日","29,284.4","28,994.3","31,002.7","28,755.0","141.23K","1.06%"
"2022年05月12日","28,976.0","29,073.4","30,136.7","26,500.5","309.48K","-0.32%"
"2022年05月11日","29,068.2","31,008.0","32,113.6","27,835.5","296.90K","-6.25%"
"2022年05月10日","31,007.5","30,098.2","32,621.2","29,831.0","235.61K","3.03%"
"2022年05月09日","30,095.0","34,041.0","34,227.0","30,095.0","268.09K","-11.64%"
"2022年05月08日","34,060.0","35,468.0","35,497.0","33,727.0","671.05M","-3.97%"
"2022年05月07日","35,468.0","36,003.0","36,119.0","34,773.0","288.86M","-1.50%"
"2022年05月06日","36,009.0","36,540.0","36,646.0","35,267.0","752.84M","-1.46%"
"2022年05月05日","36,544.0","39,686.0","39,833.0","36,183.0","1.04B","-7.92%"
"2022年05月04日","39,688.0","37,717.0","40,021.0","37,660.0","691.49M","5.22%"
"2022年05月03日","37,718.0","38,515.0","38,647.0","37,513.0","367.21M","-2.07%"
"2022年05月02日","38,514.0","38,472.0","39,134.0","38,061.0","580.79M","0.14%"
"2022年05月01日","38,461.0","37,642.0","38,676.0","37,397.0","276.99M","2.15%"
"2022年04月30日","37,650.0","38,590.0","38,776.0","37,596.0","248.22M","-2.41%"
"2022年04月29日","38,581.0","39,748.0","39,919.0","38,175.0","382.90M","-2.94%"
"2022年04月28日","39,748.0","39,243.0","40,382.0","38,888.0","542.39M","1.29%"
"2022年04月27日","39,243.0","38,113.0","39,447.0","37,869.0","426.83M","2.96%"
"2022年04月26日","38,113.0","40,443.0","40,770.0","37,708.0","681.47M","-5.72%"
"2022年04月25日","40,427.0","39,464.0","40,599.0","38,233.0","654.60M","2.44%"
"2022年04月24日","39,464.0","39,434.0","39,929.0","39,033.0","283.63M","0.12%"
"2022年04月23日","39,418.0","39,709.0","39,973.0","39,291.0","190.60M","-0.73%"
"2022年04月22日","39,709.0","40,487.0","40,792.0","39,200.0","421.30M","-1.91%"
"2022年04月21日","40,482.0","41,370.0","42,969.0","39,793.0","493.05M","-2.14%"
"2022年04月20日","41,368.0","41,499.0","42,203.0","40,915.0","382.84M","-0.33%"
"2022年04月19日","41,503.0","40,809.0","41,746.0","40,585.0","268.28M","1.72%"
"2022年04月18日","40,803.0","39,700.0","41,095.0","38,577.0","484.26M","2.77%"
"2022年04月17日","39,703.0","40,382.0","40,599.0","39,561.0","210.01M","-1.68%"
"2022年04月16日","40,382.0","40,571.0","40,691.0","40,003.0","151.31M","-0.44%"
"2022年04月15日","40,560.0","39,936.0","40,850.0","39,781.0","233.09M","1.56%"
"2022年04月14日","39,936.0","41,133.0","41,494.0","39,585.0","294.29M","-2.91%"
"2022年04月13日","41,133.0","40,072.0","41,515.0","39,581.0","406.70M","2.63%"
"2022年04月12日","40,078.0","39,507.0","40,678.0","39,265.0","468.27M","1.47%"
"2022年04月11日","39,497.0","42,144.0","42,418.0","39,202.0","608.38M","-6.27%"
"2022年04月10日","42,138.0","42,760.0","43,421.0","41,884.0","255.83M","-1.47%"
"2022年04月09日","42,767.0","42,275.0","42,809.0","42,129.0","165.16M","1.16%"
"2022年04月08日","42,275.0","43,450.0","43,979.0","42,113.0","467.83M","-2.70%"
